기준일,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2022-04-26,4,롯데,20,11,9,0,0.55,5.5,6승0무4패,1패,4-0-6,7-0-3
2022-04-26,5,키움,21,11,10,0,0.524,6.0,4승0무6패,2패,5-0-6,6-0-4
2022-04-26,6,KIA,20,10,10,0,0.5,6.5,6승0무4패,2승,5-0-5,5-0-5
2022-04-26,7,KT,20,8,12,0,0.4,8.5,6승0무4패,2패,3-0-8,5-0-4
2022-04-26,8,삼성,21,8,13,0,0.381,9.0,2승0무8패,1승,4-0-6,4-0-7
2022-04-26,8,한화,21,8,13,0,0.381,9.0,6승0무4패,1승,6-0-4,2-0-9
2022-04-26,10,NC,21,6,15,0,0.286,11.0,4승0무6패,1패,4-0-7,2-0-8
2022-04-27,1,SSG,22,17,4,1,0.81,0.0,6승1무3패,2승,8-0-1,9-1-3
2022-04-27,2,두산,21,13,8,0,0.619,4.0,6승0무4패,2승,7-0-6,6-0-2
2022-04-27,3,LG,22,13,9,0,0.591,4.5,5승0무5패,1승,3-0-6,10-0-3
2022-04-27,4,롯데,21,11,9,1,0.55,5.5,5승1무4패,1패,4-1-6,7-0-3
2022-04-27,5,키움,22,12,10,0,0.545,5.5,4승0무6패,1승,5-0-6,7-0-4
2022-04-27,6,KIA,21,10,11,0,0.476,7.0,6승0무4패,1패,5-0-5,5-0-6
2022-04-27,7,KT,21,9,12,0,0.429,8.0,7승0무3패,1승,4-0-8,5-0-4
2022-04-27,8,삼성,22,8,14,0,0.364,9.5,2승0무8패,1패,4-0-7,4-0-7
2022-04-27,8,한화,22,8,14,0,0.364,9.5,5승0무5패,1패,6-0-5,2-0-9
2022-04-27,10,NC,22,6,16,0,0.273,11.5,3승0무7패,2패,4-0-7,2-0-9
2022-04-28,1,SSG,23,17,5,1,0.773,0.0,5승1무4패,1패,8-0-1,9-1-4
2022-04-28,2,LG,23,14,9,0,0.609,3.5,5승0무5패,2승,3-0-6,11-0-3
2022-04-28,3,두산,22,13,9,0,0.591,4.0,5승0무5패,1패,7-0-7,6-0-2
2022-04-28,4,롯데,22,12,9,1,0.571,4.5,6승1무3패,1승,5-1-6,7-0-3
2022-04-28,5,키움,23,13,10,0,0.565,4.5,5승0무5패,2승,5-0-6,8-0-4
2022-04-28,6,KT,22,10,12,0,0.455,7.0,7승0무3패,2승,5-0-8,5-0-4
2022-04-28,6,KIA,22,10,12,0,0.455,7.0,5승0무5패,2패,5-0-5,5-0-7
2022-04-28,8,삼성,23,8,15,0,0.348,9.5,2승0무8패,2패,4-0-8,4-0-7
2022-04-28,8,한화,23,8,15,0,0.348,9.5,5승0무5패,2패,6-0-6,2-0-9
2022-04-28,10,NC,23,7,16,0,0.304,10.5,4승0무6패,1승,4-0-7,3-0-9
2022-04-29,1,SSG,24,18,5,1,0.783,0.0,5승1무4패,1승,9-0-1,9-1-4
2022-04-29,2,롯데,23,13,9,1,0.591,4.5,6승1무3패,2승,5-1-6,8-0-3
2022-04-29,3,LG,24,14,10,0,0.583,4.5,4승0무6패,1패,3-0-7,11-0-3
2022-04-29,4,두산,23,13,10,0,0.565,5.0,5승0무5패,2패,7-0-7,6-0-3
2022-04-29,5,키움,24,13,11,0,0.542,5.5,4승0무6패,1패,5-0-7,8-0-4
2022-04-29,6,KT,23,11,12,0,0.478,7.0,8승0무2패,3승,5-0-8,6-0-4
2022-04-29,7,KIA,23,10,13,0,0.435,8.0,4승0무6패,3패,5-0-6,5-0-7
2022-04-29,8,삼성,24,9,15,0,0.375,9.5,3승0무7패,1승,4-0-8,5-0-7
2022-04-29,9,NC,24,8,16,0,0.333,10.5,5승0무5패,2승,5-0-7,3-0-9
2022-04-29,9,한화,24,8,16,0,0.333,10.5,5승0무5패,3패,6-0-6,2-0-10
2022-04-30,1,SSG,25,19,5,1,0.792,0.0,6승1무3패,2승,10-0-1,9-1-4
2022-04-30,2,롯데,24,14,9,1,0.609,4.5,7승1무2패,3승,5-1-6,9-0-3
2022-04-30,3,LG,25,14,11,0,0.56,5.5,4승0무6패,2패,3-0-8,11-0-3
2022-04-30,3,키움,25,14,11,0,0.56,5.5,4승0무6패,1승,6-0-7,8-0-4
2022-04-30,5,두산,24,13,11,0,0.542,6.0,5승0무5패,3패,7-0-7,6-0-4
2022-04-30,6,KT,24,11,13,0,0.458,8.0,7승0무3패,1패,5-0-8,6-0-5
2022-04-30,7,KIA,24,10,14,0,0.417,9.0,3승0무7패,4패,5-0-7,5-0-7
2022-04-30,8,삼성,25,10,15,0,0.4,9.5,4승0무6패,2승,4-0-8,6-0-7
2022-04-30,9,한화,25,9,16,0,0.36,10.5,5승0무5패,1승,6-0-6,3-0-10
2022-04-30,10,NC,25,8,17,0,0.32,11.5,4승0무6패,1패,5-0-8,3-0-9
2022-05-01,1,SSG,26,19,6,1,0.76,0.0,5승1무4패,1패,10-0-2,9-1-4
2022-05-01,2,롯데,25,15,9,1,0.625,3.5,7승1무2패,4승,5-1-6,10-0-3
2022-05-01,3,키움,26,15,11,0,0.577,4.5,5승0무5패,2승,7-0-7,8-0-4
2022-05-01,4,두산,25,14,11,0,0.56,5.0,5승0무5패,1승,7-0-7,7-0-4
2022-05-01,5,LG,26,14,12,0,0.538,5.5,4승0무6패,3패,3-0-9,11-0-3
2022-05-01,6,KT,25,11,14,0,0.44,8.0,6승0무4패,2패,5-0-8,6-0-6
2022-05-01,7,삼성,26,11,15,0,0.423,8.5,5승0무5패,3승,4-0-8,7-0-7
2022-05-01,8,KIA,25,10,15,0,0.4,9.0,3승0무7패,5패,5-0-8,5-0-7
2022-05-01,9,한화,26,10,16,0,0.385,9.5,6승0무4패,2승,6-0-6,4-0-10
2022-05-01,10,NC,26,8,18,0,0.308,11.5,3승0무7패,2패,5-0-9,3-0-9
2022-05-03,1,SSG,27,20,6,1,0.769,0.0,5승1무4패,1승,11-0-2,9-1-4
2022-05-03,2,롯데,26,15,10,1,0.6,4.5,7승1무2패,1패,5-1-6,10-0-4
2022-05-03,3,키움,27,16,11,0,0.593,4.5,6승0무4패,3승,7-0-7,9-0-4
2022-05-03,4,LG,27,15,12,0,0.556,5.5,5승0무5패,1승,4-0-9,11-0-3
2022-05-03,5,두산,26,14,12,0,0.538,6.0,4승0무6패,1패,7-0-7,7-0-5
2022-05-03,6,KT,26,12,14,0,0.462,8.0,6승0무4패,1승,6-0-8,6-0-6
2022-05-03,7,삼성,27,11,16,0,0.407,9.5,4승0무6패,1패,4-0-9,7-0-7
2022-05-03,8,KIA,26,10,16,0,0.385,10.0,3승0무7패,6패,5-0-9,5-0-7
2022-05-03,9,한화,27,10,17,0,0.37,10.5,5승0무5패,1패,6-0-6,4-0-11
2022-05-03,10,NC,27,9,18,0,0.333,11.5,4승0무6패,1승,5-0-9,4-0-9
2022-05-04,1,SSG,28,20,7,1,0.741,0.0,5승1무4패,1패,11-0-3,9-1-4
2022-05-04,2,롯데,27,16,10,1,0.615,3.5,7승1무2패,1승,5-1-6,11-0-4
